wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
91559.710949,90941.542094,93701.0317,92795.237077
83510.54734199999,83813.16184799999,84552.546346,82573.301619
75794.336751,91136.41558100001,69369.73911,89446.081034
82107.036149,133679.71272,93297.25080000001,122195.41045
69483.765459,52865.260728,38436.452516,48934.608636000004
64791.59267,99070.615441,82871.026606,82107.036149
80975.064805,94355.521675,72700.830447,79936.69424800001
65242.539336,79735.53931,77989.71012,77654.35194200001
67174.91751,93900.84651999999,74174.221136,77867.155896
85540.738849,79245.21096299999,79735.53931,72905.785876
54205.14953899999,77654.35194200001,103906.70531199999,87651.47436600001
66769.270242,94164.159559,79422.120577,81346.314561
125020.84968999999,91311.790718,72374.02643900001,69369.73911
70040.28707699999,61483.303266999996,53869.12170599999,64725.846879
74295.336083,78929.759441,85921.763746,77523.17922
82352.000467,80846.077615,73175.13454700001,74952.951145
83186.988481,86526.775399,98663.763171,92079.977308
90220.150552,69013.729145,75490.137512,85540.738849
119349.88002,73742.127165,82573.301619,78929.759441
78682.626347,108571.751479,96984.89988299999,97708.881999
74582.179938,67609.428663,57537.148703,68331.31269
64037.027173,86383.570793,77523.17922,84813.34446000001
99070.615441,78682.626347,45321.014735,43002.047924
86184.001119,74776.329172,74295.336083,83510.54734199999
51296.750237,93540.5434,76368.940225,102521.391273
66333.110123,72256.59583,61593.80959600001,74776.329172
93540.5434,70040.28707699999,94164.159559,80975.064805
101090.96467300001,73327.47124000001,72143.79165,76740.116839
102165.33676,88737.212223,93900.84651999999,88394.642216
92795.237077,83986.432512,80585.714593,83813.16184799999
94355.521675,109001.201612,106710.688785,95609.739934
81983.783308,72143.79165,74040.700171,67980.818374
72256.59583,89705.34744700001,109746.16457,104985.57307500001
76601.868722,82352.000467,79936.69424800001,83186.988481
81346.314561,67894.830195,69133.389067,71376.433724
80846.077615,82573.301619,80846.077615,80152.46177600001
36710.304682,66188.857155,60266.085716999994,71852.23582
79245.21096299999,74582.179938,59797.947065,62745.646560999994
85921.763746,78270.07479700001,73742.127165,70282.782148
103906.70531199999,88086.894243,91559.710949,96984.89988299999
72005.241605,59856.342927,50684.934610000004,63888.74109
73175.13454700001,85220.379455,85009.37193,81608.367061
73454.330017,74295.336083,80367.98222600001,86383.570793
