wt_0min_1,wt_0min_2,env_0min_1,env_0min_2
306847.74831,303577.52558,302118.04568,317916.49948999996
300194.62751,289550.84629,247771.76376,371605.96511
289076.16074,291876.17741,331696.7551,339709.82863
340414.85597000003,347877.1951,303577.52558,305280.97002
285813.81687000004,264172.42075,238135.02106,358097.18098
305280.97002,273539.12904,320034.7279,291876.17741
265656.08944,276312.6215,317916.49948999996,290311.56987
312973.27225000004,306847.74831,305280.97002,284716.07845000003
313742.73457,316244.33729,336608.50144,316244.33729
335067.30151,328621.3234,319311.29071,342615.92328
322950.42912,323861.32234,299466.4153,313742.73457
333758.51502,334565.95624,316951.33434,294650.54581
318468.86121,312042.52205,312042.52205,286966.60672
298232.5835,305947.91936,332921.08924,293424.25665
329535.71731,315358.79153,306847.74831,317347.8562
311448.73056,326937.37366,296634.94156,311448.73056
336608.50144,331696.7551,300785.7053,324463.99101999996
270276.04883000004,277603.45857,322950.42912,286359.34935
323426.71013,316951.33434,309009.76635,293702.54188000003
308545.50627,296634.94156,315358.79153,273539.12904
293702.54188000003,295202.33194999996,334565.95624,307801.79746
286966.60672,298955.38368,304601.33863,295721.37985
330810.27096,332921.08924,311448.73056,289550.84629
309009.76635,309009.76635,300194.62751,325055.95177
276312.6215,307801.79746,320798.04403999995,279216.59988
316951.33434,330810.27096,302607.76284,297500.80460000003
303577.52558,317916.49948999996,322368.86906,281255.83845000004
331696.7551,325856.97352,325856.97352,304601.33863
328023.44334999996,291229.48422,298955.38368,292729.03336999996
325055.95177,318468.86121,307801.79746,284228.58366
292729.03336999996,282307.04094,295202.33194999996,298955.38368
278151.65227,289076.16074,284716.07845000003,295202.33194999996
266452.45169,274870.35727,234313.89363,347877.1951
248385.17268,284228.58366,332158.13249,309009.76635
282307.04094,305280.97002,295721.37985,289076.16074
310962.92183,321738.65069,293702.54188000003,276312.6215
324463.99101999996,317347.8562,308545.50627,300194.62751
317347.8562,272748.50615,290311.56987,281969.1799
296634.94156,262652.0114,281255.83845000004,302118.04568
299466.4153,304601.33863,285813.81687000004,282307.04094
244324.19575,250829.79366999998,278509.40391,312973.27225000004
288277.31008,293424.25665,282307.04094,302607.76284
264920.81046,271636.00081,288277.31008,264920.81046
273999.33435,265656.08944,241757.76389,291229.48422
304601.33863,313742.73457,282679.7073,267972.69463
290311.56987,288277.31008,278151.65227,277603.45857
279444.37167,295721.37985,273999.33435,285157.65331
297500.80460000003,285157.65331,281969.1799,315358.79153
322368.86906,320034.7279,289076.16074,280391.51479000004
292290.92457,297500.80460000003,289550.84629,255465.27114
293424.25665,290311.56987,284228.58366,264646.76116999995
211187.73273999998,232287.57843,269564.15059000003,303577.52558
267491.81519,277050.43367,275572.72709999996,287755.7093
272139.04942,262016.18462,273153.63637,260485.02115000002
271636.00081,278509.40391,248385.17268,336608.50144
253310.08893,256301.03112,239985.78402999998,314379.44391000003
302118.04568,300194.62751,287755.7093,269564.15059000003
294650.54581,308545.50627,252872.16135999997,306847.74831
260822.80688999998,257971.27557,328023.44334999996,298232.5835
263166.39168,251581.48232,292729.03336999996,257971.27557
279216.59988,284716.07845000003,277603.45857,263507.99580000003
289550.84629,294650.54581,286359.34935,245996.51776000002
282679.7073,300785.7053,277050.43367,272139.04942
264172.42075,255465.27114,276312.6215,242319.9935
285157.65331,272139.04942,274870.35727,255797.93118
291229.48422,292290.92457,298232.5835,273999.33435
305947.91936,314379.44391000003,292290.92457,282679.7073
274870.35727,263816.08213,293424.25665,265656.08944
284228.58366,281255.83845000004,262016.18462,278509.40391
281969.1799,285813.81687000004,280391.51479000004,278151.65227
280391.51479000004,273999.33435,279444.37167,296634.94156
264646.76116999995,254577.09446,250498.31390999997,275572.72709999996
277050.43367,282679.7073,286966.60672,247982.28731999997
261279.27168,280391.51479000004,267491.81519,274400.75812
251108.89502,245996.51776000002,257971.27557,288277.31008
286359.34935,292729.03336999996,272139.04942,274870.35727
274400.75812,278151.65227,270276.04883000004,269039.71752
255969.39451,262317.06329,257132.13556,242678.56663000002
275572.72709999996,263507.99580000003,264920.81046,227409.82124000002
273539.12904,273153.63637,265656.08944,259581.18849
226519.75934000002,238644.42009,279216.59988,271636.00081
277603.45857,279216.59988,248747.38903000002,270276.04883000004
281255.83845000004,286359.34935,253310.08893,254851.05052
221561.81435000003,222250.21966,240860.13551,261279.27168
295202.33194999996,275572.72709999996,269039.71752,264172.42075
260068.14805000002,269564.15059000003,268584.30532,279444.37167
247982.28731999997,242319.9935,244024.07405,263166.39168
225409.59682,209883.17792,305947.91936,243585.12771
245996.51776000002,254156.83990000002,256301.03112,272748.50615
258932.75269999998,247771.76376,226519.75934000002,252416.79252
278509.40391,266452.45169,273539.12904,250498.31390999997
250498.31390999997,248385.17268,267161.33488,248959.03818
267161.33488,267161.33488,262652.0114,238322.33772999997
257132.13556,257132.13556,244649.87636000002,254353.56743
268584.30532,274400.75812,265979.35574,246947.54046999998
262317.06329,264646.76116999995,260485.02115000002,247514.43962
271106.53058,253310.08893,254156.83990000002,241074.51896000002
295721.37985,299466.4153,285157.65331,271106.53058
257971.27557,258932.75269999998,235652.244,265979.35574
252872.16135999997,235271.03695,215210.40498000002,267491.81519
230290.41864,235019.19370999996,263816.08213,254577.09446
50799.842531999995,55603.51287400001,301721.32873999997,277050.43367
269564.15059000003,269039.71752,272748.50615,229678.76567000002
255797.93118,255180.33763999998,264646.76116999995,250829.79366999998
284716.07845000003,298232.5835,294650.54581,267161.33488
262652.0114,268584.30532,261279.27168,258932.75269999998
253822.85227,244324.19575,271106.53058,240281.78264000002
241074.51896000002,255797.93118,250829.79366999998,262016.18462
224598.05743,220564.58242000002,271636.00081,262317.06329
254851.05052,249350.19792,247982.28731999997,292290.92457
265979.35574,264920.81046,267972.69463,247771.76376
272748.50615,271106.53058,264172.42075,244024.07405
263816.08213,254353.56743,253822.85227,246378.26287000004
249602.57934,246947.54046999998,245996.51776000002,244649.87636000002
247771.76376,254851.05052,228147.58994,268584.30532
259581.18849,243585.12771,255797.93118,254156.83990000002
240452.87111,218899.42531,236573.72868,260068.14805000002
260485.02115000002,248959.03818,242319.9935,241472.52344
247514.43962,234313.89363,219178.11592,263816.08213
269039.71752,281969.1799,263507.99580000003,273153.63637
273153.63637,259581.18849,247514.43962,255969.39451
263507.99580000003,243028.36669999998,233122.31644999998,252872.16135999997
246378.26287000004,255969.39451,254353.56743,248747.38903000002
262016.18462,270276.04883000004,259581.18849,245793.92376
254353.56743,263166.39168,251108.89502,239158.09608999998
254156.83990000002,260485.02115000002,255180.33763999998,238135.02106
231431.90508,223315.53486,239158.09608999998,243028.36669999998
258334.39093,257595.45408,254577.09446,266452.45169
251954.168,256760.32344999997,245202.1462,253822.85227
233441.34465,239985.78402999998,251581.48232,238644.42009
255180.33763999998,247982.28731999997,256760.32344999997,249350.19792
250829.79366999998,224332.21274000002,242678.56663000002,241757.76389
267972.69463,267491.81519,257595.45408,231963.60429
228147.58994,229036.22590999998,252416.79252,256760.32344999997
233122.31644999998,228469.68698,217416.31708,257132.13556
256301.03112,265979.35574,263166.39168,237297.31872
256760.32344999997,258334.39093,260822.80688999998,249602.57934
234073.84715,240452.87111,218899.42531,262652.0114
255465.27114,260822.80688999998,255969.39451,236262.47195
246947.54046999998,253822.85227,246378.26287000004,239577.95399
244024.07405,238322.33772999997,262317.06329,249852.86562
216660.43436,202755.0086,240281.78264000002,258334.39093
206629.44761,195661.93702,199405.88454,233122.31644999998
230043.52500999998,222864.96472,220564.58242000002,260822.80688999998
240281.78264000002,267972.69463,249350.19792,237771.57916999998
245202.1462,251108.89502,249852.86562,239985.78402999998
112726.81072,120840.25692,202755.0086,377733.27087
228824.28083,230558.69976,228824.28083,213780.83564
240860.13551,246378.26287000004,246947.54046999998,234752.95583000002
229678.76567000002,238135.02106,209461.16779,253310.08893
244944.58232,247514.43962,249602.57934,228824.28083
212663.55302,213780.83564,255465.27114,229282.82635
222670.20726999998,231155.87683000002,234073.84715,230558.69976
241472.52344,227409.82124000002,218260.35126999998,251581.48232
238644.42009,241472.52344,241472.52344,244324.19575
254577.09446,248747.38903000002,233441.34465,231431.90508
257595.45408,261279.27168,244944.58232,240452.87111
228469.68698,235652.244,238644.42009,238805.88333
225864.06017,221266.09622999997,251954.168,235652.244
220915.90615,231431.90508,248959.03818,236573.72868
230558.69976,231637.19988000003,231431.90508,219633.15021000002
225113.63911000002,233642.67533,258334.39093,257595.45408
233642.67533,209577.55453,213163.73615,230290.41864
217660.17560000002,211426.77626999997,244324.19575,235019.19370999996
238322.33772999997,232190.57324,230719.80112999998,214137.24151
196664.49646,233441.34465,274400.75812,251954.168
235019.19370999996,245793.92376,239577.95399,222670.20726999998
248747.38903000002,245202.1462,240452.87111,235271.03695
223916.24665000002,225409.59682,235019.19370999996,221561.81435000003
242678.56663000002,251954.168,237771.57916999998,226519.75934000002
231155.87683000002,237771.57916999998,245793.92376,225864.06017
239577.95399,218260.35126999998,238805.88333,210064.82458000001
243028.36669999998,229678.76567000002,219633.15021000002,209577.55453
236573.72868,242678.56663000002,230930.25810000004,222864.96472
239985.78402999998,249602.57934,229282.82635,233441.34465
245793.92376,233122.31644999998,236934.5912,220915.90615
