env_0min_1,env_0min_2,env_5min_1,env_5min_2
91850.340364,126239.13618,90337.061268,99763.78091300001
101940.456215,107529.84775,92051.729137,91340.961774
117781.46185,102606.74852200001,104188.632166,116018.41946
178817.46752,122806.47841000001,161261.91587,96094.51789
119242.60143,103321.805152,114088.5814,91018.379921
123656.52764999999,117321.16983,134657.24701,84628.85652599999
101701.742381,119242.60143,91340.961774,94662.006366
85323.57278700001,128774.79776999999,83376.307684,96918.103122
88275.002382,110218.94125999999,98906.021227,106894.744713
107848.67254999999,99763.78091300001,100158.37056899999,107529.84775
114650.43075999999,111717.03078,77527.613119,71506.43929099999
83912.694511,98548.783716,89274.09477699999,110218.94125999999
98548.783716,77119.031631,86577.153545,93612.115614
97185.236429,94662.006366,94903.415871,105888.807351
91504.879294,95840.543624,85323.57278700001,93920.9074
109163.4269,88543.673642,91850.340364,102606.74852200001
100452.15196,83912.694511,85733.00678099999,90102.4588
97679.950094,91018.379921,85518.593621,97185.236429
93612.115614,91340.961774,86200.041543,89547.66482199999
95187.83313700001,82278.76365499999,81119.695247,97428.517964
74685.320466,82487.46220899999,86383.725866,94903.415871
76302.617386,94903.415871,104418.05165200001,101701.742381
125452.54968999999,105379.344575,117321.16983,76236.622849
135431.90958,86200.041543,151950.25403,65310.006161
80147.65164899999,79220.99376000001,92477.645205,102380.104461
90678.28823899999,91504.879294,87430.956083,100158.37056899999
73388.400923,92477.645205,111084.00142000002,113469.52708
99763.78091300001,97428.517964,82278.76365499999,87335.580957
86029.74755100001,98178.14111200001,84079.69170699999,98178.14111200001
77615.94657,91850.340364,87958.04498600001,94235.523934
96918.103122,86815.883241,93195.165889,98548.783716
95669.875044,114650.43075999999,88543.673642,68946.01265399999
92604.752236,97185.236429,80700.043305,88817.36640999999
65998.30624800001,80147.65164899999,94235.523934,104979.75361599999
86200.041543,104979.75361599999,115018.79363,93195.165889
99224.115456,103975.145181,73894.02263699999,85069.361311
61900.302478,115018.79363,98548.783716,95840.543624
59969.877257,110603.64327,89102.41810899999,107848.67254999999
81119.695247,82127.673173,83912.694511,87430.956083
109730.19553,103039.585523,72812.67829,75781.635624
77764.58574899999,70348.564109,79559.168554,104188.632166
82278.76365499999,68614.962315,91504.879294,92051.729137
92863.498215,94414.71914999999,78188.439461,87958.04498600001
78023.317797,84763.534277,75781.635624,87683.97823400001
76612.09197,73388.400923,73066.867853,88543.673642
63513.354837,77416.535566,97428.517964,105379.344575
73894.02263699999,76612.09197,81628.471261,89274.09477699999
78821.42725899999,73066.867853,76612.09197,109163.4269
103039.585523,78188.439461,89547.66482199999,84456.098127
86577.153545,86577.153545,71876.159508,80700.043305
77265.73809,101208.184913,107529.84775,90337.061268
72125.46975,78352.69378599999,73528.276851,78352.69378599999
82127.673173,78973.640945,80147.65164899999,81119.695247
85069.361311,80257.430441,77119.031631,81792.428144
72566.21436900001,87430.956083,82487.46220899999,81944.42173500001
83171.93423,75781.635624,81944.42173500001,85518.593621
81944.42173500001,80942.868631,73388.400923,80942.868631
96529.263188,85733.00678099999,80257.430441,74001.96092
77907.48595500001,85323.57278700001,76432.743,79346.64683299999
57382.474124,88275.002382,92604.752236,117321.16983
80700.043305,96094.51789,100452.15196,94414.71914999999
63222.93287599999,90102.4588,81479.111907,95669.875044
69092.610541,90337.061268,81792.428144,86200.041543
83813.026174,65737.17471600001,71062.686934,78821.42725899999
88817.36640999999,94235.523934,84456.098127,86383.725866
97428.517964,92051.729137,82941.765336,78023.317797
81479.111907,74959.162603,75212.991907,77907.48595500001
92051.729137,71384.580279,86815.883241,92477.645205
64743.949095,87205.888006,77265.73809,82941.765336
123260.20963000001,62920.145218000005,127799.59344,63875.12753400001
62920.145218000005,74136.177777,78640.20862399999,91504.879294
82708.431959,81479.111907,75365.57156499999,81479.111907
84079.69170699999,79346.64683299999,92863.498215,91850.340364
79346.64683299999,77907.48595500001,67100.72358800001,87205.888006
58872.326675,64253.311795999995,99224.115456,110603.64327
73528.276851,84079.69170699999,76707.46538400001,83171.93423
128774.79776999999,89814.62894200001,119902.41851999999,63513.354837
83634.079985,85069.361311,76236.622849,80147.65164899999
68461.580507,81628.471261,84628.85652599999,82127.673173
72812.67829,100684.209104,85069.361311,83912.694511
86815.883241,72292.27417,76086.181319,76432.743
79559.168554,84186.609151,70044.200189,81271.37916699999
82487.46220899999,74462.890136,74959.162603,73894.02263699999
81271.37916699999,73243.701128,71700.336434,72450.432282
68124.556169,57652.911604999994,77764.58574899999,92604.752236
79965.127498,70444.641626,86029.74755100001,89814.62894200001
71236.875856,76886.543527,64901.080801000004,82487.46220899999
76886.543527,73684.150269,74839.042508,78640.20862399999
74839.042508,86383.725866,72125.46975,83376.307684
89274.09477699999,104418.05165200001,74001.96092,80257.430441
93920.9074,76236.622849,69501.771683,66813.563106
85518.593621,73894.02263699999,75014.784332,74959.162603
80942.868631,79965.127498,70348.564109,76612.09197
65044.825593,82708.431959,74136.177777,85323.57278700001
71876.159508,89102.41810899999,74301.517269,90678.28823899999
87958.04498600001,84456.098127,82127.673173,73684.150269
75014.784332,70928.854255,63875.12753400001,74136.177777
82941.765336,86029.74755100001,72003.400406,76707.46538400001
72450.432282,81944.42173500001,69651.04044699999,77265.73809
76236.622849,75212.991907,71506.43929099999,71876.159508
67750.747248,57968.968496,72237.724552,82708.431959
81792.428144,74685.320466,79346.64683299999,84079.69170699999
61532.682896000006,92604.752236,76513.406609,84763.534277
62982.049827999996,64901.080801000004,73243.701128,79672.275989
71506.43929099999,71831.322271,67582.45806599999,76513.406609
65681.354995,68190.53501600001,65310.006161,73388.400923
87335.580957,78640.20862399999,78023.317797,76302.617386
84186.609151,69501.771683,67466.579125,74462.890136
74959.162603,72125.46975,65592.191737,71236.875856
76513.406609,72649.33731900001,78352.69378599999,86029.74755100001
68685.642748,90678.28823899999,87683.97823400001,83813.026174
57728.385065,74596.376911,77416.535566,92863.498215
94662.006366,83376.307684,68614.962315,66860.920898
65310.006161,79672.275989,95669.875044,77764.58574899999
66813.563106,69092.610541,75632.81603100001,78188.439461
94414.71914999999,89274.09477699999,96529.263188,68614.962315
87430.956083,88817.36640999999,62982.049827999996,67100.72358800001
77527.613119,78023.317797,65858.876548,69379.82271000001
72237.724552,76302.617386,66975.80068,72566.21436900001
55508.924382,50661.480686,78821.42725899999,84186.609151
70044.200189,69771.083422,67238.437389,74685.320466
72649.33731900001,77527.613119,65737.17471600001,73066.867853
74001.96092,59969.877257,65044.825593,69092.610541
90337.061268,68258.01881200001,77615.94657,72237.724552
68190.53501600001,52605.614591,70107.383468,81628.471261
95840.543624,98906.021227,83634.079985,68190.53501600001
61711.083045,68768.247364,62090.474077000006,70675.339147
72003.400406,63071.134826,64848.170744999996,69878.918044
78640.20862399999,76086.181319,65369.158103999995,70928.854255
84456.098127,72951.195536,69092.610541,66301.324414
84763.534277,82941.765336,81271.37916699999,86577.153545
87205.888006,93612.115614,68258.01881200001,77119.031631
60260.502214,101940.456215,72649.33731900001,70231.618661
55636.380423,60112.340018999996,76886.543527,79965.127498
67100.72358800001,56466.587564,62920.145218000005,76086.181319
73684.150269,68946.01265399999,62789.10978700001,68461.580507
69878.918044,63386.323451,66720.559991,70821.711125
89547.66482199999,87335.580957,68382.994278,72951.195536
103975.145181,76513.406609,105379.344575,59831.342426999996
67466.579125,67238.437389,64174.326272,73528.276851
72951.195536,74001.96092,71236.875856,69771.083422
85733.00678099999,81792.428144,79672.275989,85733.00678099999
69379.82271000001,77265.73809,75550.457043,78973.640945
84628.85652599999,79559.168554,55414.307536,56530.454235
71384.580279,72003.400406,68124.556169,75212.991907
79220.99376000001,76707.46538400001,69379.82271000001,75365.57156499999
90102.4588,80700.043305,72566.21436900001,67582.45806599999
66720.559991,65044.825593,66398.629939,77615.94657
68768.247364,77764.58574899999,65945.54791400001,75014.784332
68027.506481,59277.403951,61757.00601,74839.042508
66231.970906,63811.145258000004,64345.773112,71384.580279
105888.807351,71062.686934,102380.104461,50801.998495
59610.935534000004,87683.97823400001,70675.339147,99224.115456
71062.686934,64006.97681099999,64403.078992999996,65858.876548
94903.415871,58288.056283,142146.26528,61450.551142
63875.12753400001,72237.724552,61243.191758999994,64345.773112
89102.41810899999,65487.551769,80942.868631,60996.72945100001
62498.270945,89547.66482199999,70231.618661,74596.376911
50439.005991,81271.37916699999,74462.890136,72812.67829
102606.74852200001,74839.042508,87335.580957,49325.270116
60324.161928,66301.324414,54503.226668999996,77416.535566
69771.083422,63586.570099000004,64471.779732,63129.192555
65369.158103999995,69379.82271000001,62002.896198,65998.30624800001
58747.58664000001,50045.85676,63939.289385,65945.54791400001
74596.376911,77615.94657,66860.920898,74301.517269
