genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
282665.07439,300124.49529,310205.00137,302887.31444
317970.37004,276598.75899,302370.38175,295425.01861
292085.95293,317135.86089,282061.57918,280764.14222
305336.3577,320164.36277,280764.14222,276598.75899
287494.02369999996,292892.93391,279223.4275,284879.05770999996
290196.00901,285221.90699,297113.16438000003,289724.11979
288019.04367,289724.11979,279654.44244,290784.01841
281748.15945000004,279877.41603,295425.01861,292410.26721
281157.26459,290784.01841,292085.95293,279654.44244
275843.11289,311380.0257,259931.91142000002,262630.14188
344279.03948,296652.10394,323874.86222999997,341196.73421
295425.01861,296183.99037,290989.96932000003,296652.10394
278424.59368,279412.80479,300124.49529,297113.16438000003
273906.81974,289288.65099,278424.59368,282343.69964999997
294219.87224,289025.03749,298127.3149,290989.96932000003
289025.03749,302370.38175,289025.03749,283118.01755
294838.82861,295425.01861,267612.77581,284143.82795
298127.3149,290989.96932000003,313164.02232999995,303671.61818
279654.44244,273906.81974,300877.03213999997,316290.38037
297683.87198,294838.82861,294219.87224,291549.53585
291549.53585,298127.3149,278047.36634,285221.90699
296652.10394,292085.95293,285652.46579,279223.4275
308619.06807,282061.57918,307737.15587,310205.00137
319049.34246,278830.48636,317135.86089,311380.0257
265089.42478999996,300877.03213999997,261814.61148999998,260385.91319
282343.69964999997,286818.70725,291549.53585,288440.59848
276598.75899,279223.4275,249976.52499,246281.30964000002
284879.05770999996,297113.16438000003,273906.81974,271736.4776
286818.70725,284879.05770999996,281157.26459,278424.59368
278047.36634,261814.61148999998,284143.82795,292892.93391
321142.18857999996,241930.94622999997,294838.82861,329370.72678
289288.65099,287494.02369999996,272071.58924,282061.57918
266629.0841,315077.99179,265089.42478999996,282665.07439
384363.75061,285996.64021,319530.93929,338020.04527
289724.11979,288440.59848,292892.93391,294219.87224
263074.30416,282665.07439,258187.7478,266270.28919000004
279412.80479,283118.01755,283620.35635,280187.99893
282061.57918,281748.15945000004,285221.90699,275843.11289
279223.4275,272806.49479,279877.41603,285652.46579
280187.99893,272449.27612,292410.26721,287494.02369999996
267612.77581,271736.4776,278830.48636,263946.69145
274662.90608,285652.46579,282665.07439,273906.81974
277073.83901,280187.99893,288019.04367,275179.22472
268476.7154,272071.58924,265460.49174,261814.61148999998
270777.48887999996,269010.47861,274662.90608,272449.27612
265460.49174,270291.60531,271144.04024,269309.63652999996
300877.03213999997,262035.50884000002,304235.63234,319049.34246
261112.16704000003,266270.28919000004,275179.22472,270777.48887999996
274319.40815000003,277662.10829,277073.83901,281157.26459
276350.01414,275843.11289,272449.27612,281748.15945000004
275179.22472,294219.87224,271736.4776,259376.39789999998
280764.14222,299450.75210000004,258921.15297999996,256174.35471
299450.75210000004,256583.07781000002,289724.11979,297683.87198
270039.47182,277073.83901,257140.33052,258921.15297999996
279877.41603,280764.14222,265844.52971000003,274319.40815000003
277662.10829,263946.69145,267282.63081999996,277073.83901
296183.99037,281157.26459,279412.80479,286818.70725
257375.45883999998,273491.68123000005,259376.39789999998,244731.49222
271144.04024,259740.10998,276350.01414,276350.01414
255609.14964000002,278047.36634,262630.14188,250679.06782999999
269561.14350999997,275179.22472,281748.15945000004,278047.36634
262385.36705,278424.59368,273491.68123000005,266954.11211
265844.52971000003,258383.25548,272806.49479,263726.08048
76666.194213,47629.927457,454861.64128,413829.25363
259740.10998,284143.82795,261535.86978,255805.14789999998
252645.22974,254019.68928,250381.36283,248372.75256
266270.28919000004,271144.04024,270039.47182,258383.25548
254413.78524000003,254665.72892,282343.69964999997,283620.35635
257970.01690000002,254413.78524000003,275843.11289,264168.88963
272071.58924,274319.40815000003,277662.10829,267612.77581
266954.11211,283620.35635,257970.01690000002,260729.45997000003
272806.49479,267916.26054000005,241930.94622999997,252325.4264
253650.29704,265089.42478999996,266954.11211,259740.10998
293662.33496,256174.35471,298713.91053,318692.66304
245576.94329,279654.44244,254665.72892,266629.0841
260729.45997000003,274662.90608,252645.22974,257375.45883999998
250381.36283,262385.36705,269010.47861,262035.50884000002
262035.50884000002,266629.0841,262385.36705,259931.91142000002
254665.72892,262630.14188,259740.10998,245921.75284000003
278830.48636,266954.11211,284879.05770999996,289288.65099
254019.68928,250381.36283,262035.50884000002,256583.07781000002
269309.63652999996,267282.63081999996,276598.75899,278830.48636
261535.86978,265460.49174,264168.88963,265844.52971000003
239060.94123,255805.14789999998,246281.30964000002,249180.59013
271736.4776,258187.7478,268476.7154,265089.42478999996
258921.15297999996,267612.77581,248775.32011000003,254413.78524000003
263946.69145,261112.16704000003,249180.59013,267916.26054000005
256583.07781000002,268476.7154,245124.97954000003,246577.72396
272449.27612,258921.15297999996,270777.48887999996,271144.04024
259376.39789999998,255306.18212,256174.35471,261112.16704000003
260385.91319,260729.45997000003,274319.40815000003,272806.49479
245921.75284000003,265844.52971000003,244731.49222,247872.2997
305731.88153,261535.86978,246577.72396,253063.45119
232752.34131,236890.4846,263074.30416,267282.63081999996
258187.7478,269561.14350999997,280187.99893,269010.47861
249533.86585999996,253063.45119,266629.0841,262385.36705
252325.4264,270777.48887999996,247872.2997,245124.97954000003
263726.08048,257140.33052,260385.91319,257140.33052
244731.49222,245576.94329,250679.06782999999,253650.29704
