0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
323723.77974,316273.70721,304562.8832,374047.6756,376169.70956,468595.74955,364711.81830000004
432232.95267,385415.98972,361010.80754,270742.87806,280699.39797,385415.98972,385415.98972
595512.8923000001,509119.8994,479469.36699,319208.01882,430317.29423,319208.01882,333002.63582
290881.05078,297381.19782,295305.65765999997,303587.49291000003,322979.10454000003,421283.88605000003,349375.49331
455903.64949000004,402367.30893,407578.92741,381530.34644,530569.7112,419467.86763000005,503527.76271000004
313693.93756,319208.01882,320462.49462,252931.02555,336533.89567999996,352502.59408999997,363256.63273
425719.2228,487542.3072,419467.86763000005,462343.48055999994,248692.29128,337665.55877999996,257000.09829000002
402367.30893,411842.88175999996,443908.70591,411842.88175999996,411842.88175999996,298438.51625,319208.01882
301876.89411,348312.52491000004,337665.55877999996,295305.65765999997,325650.02152999997,284063.6869,326333.60427
349375.49331,350707.80498,352502.59408999997,329176.77113,339516.551,339516.551,339516.551
357483.93092,354141.61777,355841.09175,358730.37058,341746.9971,333002.63582,335199.2635
767074.51707,595512.8923000001,607944.26443,404545.98637,266275.37463000003,234319.32012999998,252931.02555
321815.9265,299916.63038,332072.86639,367080.55371,340205.09268999996,316273.70721,337665.55877999996
333002.63582,308683.54307,321815.9265,330741.16701000003,355841.09175,310294.44661999994,291739.92963
303587.49291000003,301036.36196,301876.89411,322979.10454000003,313693.93756,335199.2635,329176.77113
368481.11874,419467.86763000005,390398.22552,323723.77974,302552.25771,291739.92963,293541.53222000005
326333.60427,321815.9265,313693.93756,320462.49462,332072.86639,332072.86639,303587.49291000003
484909.00645000004,430317.29423,441872.79042,387974.51963,385415.98972,288080.26034,307467.02072000003
319208.01882,363256.63273,364711.81830000004,363256.63273,381530.34644,371468.82273,310294.44661999994
311839.78061,311839.78061,312454.04234,299916.63038,320462.49462,329176.77113,322979.10454000003
296386.6071,295305.65765999997,271756.46974,298438.51625,312454.04234,326333.60427,296386.6071
257626.12653,257000.09829000002,272405.36907,526082.29304,288080.26034,320462.49462,277645.28986
295305.65765999997,279628.40295,307467.02072000003,344183.61432,333002.63582,271756.46974,301036.36196
312454.04234,317841.5845,308683.54307,316273.70721,319208.01882,323723.77974,284063.6869
276601.96288,265389.83284,264337.56865,257626.12653,308683.54307,325650.02152999997,327600.41978
284063.6869,267239.34359,303587.49291000003,335199.2635,346189.40780000004,287172.62552999996,288080.26034
416007.45613,406611.73846,416007.45613,288080.26034,361010.80754,349375.49331,410232.34665
279628.40295,266275.37463000003,287172.62552999996,282902.6376,323723.77974,341746.9971,341746.9971
374047.6756,327600.41978,346189.40780000004,296386.6071,290167.83064,252931.02555,276601.96288
378908.45554,368481.11874,368481.11874,407578.92741,273223.28128,297381.19782,294239.97321
355841.09175,323723.77974,330741.16701000003,321815.9265,358730.37058,317841.5845,311839.78061
270742.87806,276601.96288,273223.28128,273223.28128,303587.49291000003,312454.04234,323723.77974
