Uniprot	Prize
Q6FI81	3.5637338388107627
P33991	3.5586613811896384
Q9UN86-2	3.548553190934899
Q7L2J0	3.5455679145723744
Q92769	3.5455679145723744
Q7Z460	3.5455679145723744
Q03252	3.5386476752235962
E7EQZ4	3.517204355209181
P02748	3.517204355209181
P50750-2	3.516057833486569
Q15172	3.516057833486569
O75152	3.5073572194946134
Q15149-2	3.494788599301796
Q6P2E9	3.494788599301796
Q12986	3.4735819185057712
Q13619	3.459130272877953
B7WPE2	3.459130272877953
C9JV77	3.4436972171003912
O95625	3.4320497781881105
P17096	3.4320497781881105
Q9UHD8	3.4261670156433603
P62753	3.4261670156433603
Q14643	3.4261670156433603
Q9UI08-2	3.425341959321777
P08670	3.4201576861668763
P25205-2	3.420089571135709
A0A0C4DGT3	3.420089571135709
Q5T200	3.420089571135709
Q15063	3.4134039075494336
P05543	3.4134039075494336
Q96GN5	3.413395827264136
Q9Y2H0	3.3960732772028073
Q12849	3.3816661060042734
Q9UK76	3.3774200891787642
Q9HCD5	3.372330414233952
P28749	3.3693968233714715
P21291	3.368626896839261
P02647	3.364265154316689
P02774-3	3.3635831829668335
Q8WV93	3.3635831829668335
O15294	3.3635831829668335
P84085	3.3635831829668335
Q12834	3.3612437200008953
Q8N6H7	3.3573059164791
Q13547	3.353284197844687
O14974	3.349119808276538
Q9HCN8	3.33063379713005
P55209	3.33063379713005
P20962	3.33063379713005
Q86VZ1	3.3287314734817786
P36955	3.3244291839285243
Q13098-7	3.323302577866717
F8WA39	3.314748749215954
P24534	3.311261386839016
Q96PQ6	3.308222512365894
O94906	3.308222512365894
Q9BWD1-2	3.302267119982475
Q15629	3.2912574672496295
Q9P270	3.288347923069404
Q9Y4F3-5	3.288347923069404
Q14671	3.288347923069404
Q9NQW6	3.288347923069404
Q7Z2W4	3.272291398277376
Q9BYW2	3.2722368623821807
P26358	3.2722368623821807
Q8NDT2	3.2722368623821807
Q5T5C0	3.2718809474355157
O76031	3.2571361276247517
Q9HC52	3.2461901817457517
Q9UPN4	3.2414042120621387
Q8TCJ2	3.210363373294723
Q2KHR2	3.2051935538764518
P13807	3.200731064878577
Q9UIG0	3.1998724251452733
P49792	3.1989946829845137
P57740	3.196758764445284
Q9Y5L4	3.196152667824138
Q7L2H7	3.196152667824138
Q3B7T1	3.184729660549928
Q96PK6	3.183154820255894
O75145	3.183154820255894
Q9NYF8	3.182325579091621
E9PFI5	3.1756661941859967
P15153	3.1756661941859967
Q14181	3.1751442119066233
P63220	3.1746642551842688
P62995	3.174225934200866
Q13574	3.172875137451181
P06239-3	3.172875137451181
Q9Y5J1	3.172875137451181
Q15032-3	3.1721484673372498
Q92794	3.171504173729173
J3KTL2	3.171504173729173
Q04637-8	3.171504173729173
B4DY08	3.1690920543895156
Q96N67	3.1624955108401056
Q9NYF3	3.1596782970322166
Q9NQS7	3.1471331468742276
P60709	3.1461775953543336
P01023	3.1461775953543336
E9PGC8	3.1397706923158037
Q9H2K8	3.128908505191591
P09693	3.128908505191591
Q5VT52	3.1163766142179288
Q32MZ4-3	3.102032133600808
Q9C0C9	3.10197222951546
Q15287	3.10197222951546
Q92615	3.0952598293741524
Q6R327-3	3.0931531761760143
Q13283	3.0931531761760143
O00303	3.0923378805912427
Q9NPQ8	3.0923378805912427
Q15056	3.0893776814980867
P20700	3.0849615632751934
Q13111	3.0832250567178034
Q8NG31	3.0832250567178034
Q14157-5	3.0832250567178034
Q96T37	3.0790928432733895
