0min_1,0min_2,5min_1,5min_2
76491.9548825,74793.41235,81522.72518000001,63766.469165
74076.3345125,75325.76196999999,71107.58961,75872.466935
79430.2733375,79992.562575,66008.1362075,71590.410565
52064.954775,63188.2891025,113495.61,62142.308445
81496.2744,73483.6316625,67980.1360725,69880.32546
69620.74778,66136.4574075,80763.44611250001,76272.40980750001
73593.847585,74279.56482,65847.3143075,75325.76196999999
80270.3246625,71107.58961,66621.612335,70721.90161
72145.7139875,74076.3345125,64852.7063025,76624.650725
80611.9735375,65181.548657499996,69052.6980975,72812.2500875
78775.7798975,80323.281095,62263.71429,65750.598765
75034.49163,79245.8679975,62142.308445,71353.8077575
72525.1316025,72631.4771925,70152.1657375,71445.73886499999
79762.153475,76324.22387,63113.792037499996,66621.612335
75521.0098775,71469.97815750001,75254.56932,63330.317689999996
32392.369127500002,40776.771017499996,105783.760225,98828.6349475
55733.7476975,73784.733655,87853.785375,64791.392862500004
69174.97084,76624.650725,59136.1700575,79762.153475
77418.87181,71770.2684175,60862.552572500004,72631.4771925
24056.4159925,30544.14973,119242.5074,102420.9670075
69816.013475,73041.653575,64791.392862500004,73593.847585
79634.64843,75872.466935,60565.034335,65847.3143075
73932.7578375,81496.2744,66969.260845,58333.74348
75325.76196999999,72290.9810025,72290.9810025,61113.4203225
84779.9964475,87018.6302175,54568.4781775,55913.5880675
73041.653575,75254.56932,68948.5519625,63543.980735
80473.26329,65721.24605,65750.598765,67798.50822250001
71107.58961,71838.7054825,75933.9919975,60263.8170775
59136.1700575,59097.0354075,79245.8679975,81670.9890575
82718.88409,79038.67523,58929.213015,60342.8445775
76160.74226,76491.9548825,61720.31189,66008.1362075
84708.884695,82394.69463499999,56908.67059,56474.471565
82214.69404249999,76786.207335,62555.8102075,58200.5361975
8375.362693750001,10820.7388575,52857.1375275,200102.2403
71286.5705,71590.410565,64179.037185,70152.1657375
51074.4416625,60263.8170775,79762.153475,85199.1805125
73483.6316625,73932.7578375,64348.4748825,65721.24605
75872.466935,69620.74778,70275.022725,61686.149065
74693.81452,67223.455465,66781.9426975,68619.60770749999
72631.4771925,70721.90161,64486.7791225,67125.63948
70152.1657375,65847.3143075,62902.688235,76491.9548825
46335.5752125,56365.1792525,79634.64843,90228.8036675
63303.388202500006,60342.8445775,73932.7578375,75521.0098775
68619.60770749999,75521.0098775,66294.931545,64348.4748825
73726.97953,61802.885075,65654.5362425,72290.9810025
71445.73886499999,68619.60770749999,62009.5985675,71469.97815750001
53711.248845,52519.3058075,102420.9670075,59871.35021
83351.81540749999,75647.236585,57026.9358575,57539.28848
72290.9810025,69816.013475,64265.9528775,64575.388585
71230.119095,70082.2832,71469.97815750001,57861.440505000006
67798.50822250001,70528.00087,64019.2669625,69332.4029475
66915.672265,71445.73886499999,62711.3297875,70528.00087
36896.103885000004,35026.773075,85199.1805125,111329.5275
60045.377455,69332.4029475,65777.3892,74625.0736125
83650.3829825,78775.7798975,51805.23114,55472.47256
70082.2832,73436.472135,64680.907577499995,61094.996665
63113.792037499996,71286.5705,79871.92280500001,54914.64482
67223.455465,75034.49163,73250.7381975,53480.563795
96546.85193,79871.92280500001,40102.434055,56845.67679
62333.8029725,60045.377455,63766.469165,81371.2060325
67397.6501675,65269.364985,71230.119095,64915.053735
51459.234005,61720.31189,74279.56482,79634.64843
70275.022725,74304.5024975,58333.74348,65777.3892
66621.612335,70942.3164675,60952.895945,69949.5249275
38044.490829999995,42127.0891375,109904.051875,73726.97953
73250.7381975,68510.4023775,61348.417700000005,65181.548657499996
65528.968035,66915.672265,65357.1713775,69229.546775
64575.388585,68420.96741499999,65269.364985,67438.8851975
87853.785375,84779.9964475,46730.7206175,49666.0734725
56818.3883075,53185.691475,81670.9890575,73041.653575
43529.016552500005,46858.1341375,94838.26472,76160.74226
68827.9925125,72145.7139875,59298.661795,64680.907577499995
55913.5880675,64265.9528775,80611.9735375,62496.064955
59986.1465375,81078.632365,55733.7476975,65654.5362425
75933.9919975,69229.546775,57986.40637,60386.929814999996
64915.053735,67526.7501375,63032.662274999995,66915.672265
74576.1031725,73250.7381975,54086.9547925,61348.417700000005
74793.41235,74576.1031725,58669.4305775,55002.764297500005
60862.552572500004,71874.6311,61113.4203225,67397.6501675
69949.5249275,66969.260845,60216.6318225,64852.7063025
69880.32546,68748.1232125,55231.9794225,66781.9426975
64019.2669625,69052.6980975,77232.7006725,49300.0589225
74304.5024975,66621.612335,60586.554775,58669.4305775
66008.1362075,61868.650035,63412.2907425,66498.713915
62758.706325,62333.8029725,62641.59907,71107.58961
66702.57667000001,60386.929814999996,74438.14293,55602.36748
34247.0571475,37088.805735,102201.41878,77933.31644
69479.492445,71353.8077575,55404.79835,59562.5154425
64791.392862500004,62398.169565000004,67125.63948,61059.1985825
67125.63948,67438.8851975,59687.4090475,62711.3297875
64852.7063025,62758.706325,75872.466935,49694.9824375
71838.7054825,64791.392862500004,57422.56779,60503.929027499995
75812.34425,64915.053735,58768.08158,54696.8717775
52119.8058375,48411.725845,90946.132875,60670.0274375
61686.149065,65777.3892,62758.706325,63412.2907425
64486.7791225,63330.317689999996,54401.274065,71286.5705
67438.8851975,69174.97084,56134.9526375,60766.06559
