0min_1,0min_2,60min_1,60min_2
287760.48315,310287.046575,316374.243425,312160.0462
314310.3079,304449.17975,317478.003975,282756.52297499997
304449.17975,300644.11782499996,320781.039,289779.50190000003
285749.440375,302185.54212500004,310581.2821,322665.55007500004
297879.683525,289277.69525,331053.30754999997,296353.0871
289779.50190000003,307122.6418,313774.9331,304141.78147499997
300644.11782499996,296353.0871,270801.1106,354516.81775
292863.61795,309717.460425,303056.8621,309717.460425
309717.460425,303712.296075,294866.5576,300907.5419
309026.52745,292761.018775,262110.41924999998,350601.768925
304751.36412499996,287881.735225,301845.999975,320011.116225
310287.046575,331053.30754999997,267846.8431,294866.5576
304141.78147499997,294866.5576,304141.78147499997,308313.747425
287881.735225,306699.797325,332091.956525,279012.0346
310581.2821,298774.546075,287026.89,315377.0582
303056.8621,297879.683525,315377.0582,283412.714875
293651.893475,317478.003975,300907.5419,287760.48315
282756.52297499997,330297.04675,275212.825675,316374.243425
320781.039,310581.2821,284524.05825,278231.135225
301845.999975,306068.64202499995,302185.54212500004,285230.85562499997
283724.3026,269633.293925,336968.482925,299976.90715
296925.0576,316374.243425,294426.311425,283724.3026
290863.70385000005,313774.9331,303712.296075,280546.671625
277179.018325,290863.70385000005,246109.07325000002,378472.25515
271077.682425,242205.0983,359077.4808,313774.9331
275212.825675,280190.75927499996,325133.800075,295415.2336
286370.42422499997,304141.78147499997,304449.17975,280955.0324
283412.714875,291527.842425,309026.52745,290166.69915
308144.67977499997,309026.52745,292863.61795,270801.1106
306068.64202499995,303056.8621,264525.07985,297879.683525
315377.0582,308313.747425,285749.440375,266212.706275
300907.5419,308144.67977499997,291527.842425,275626.40260000003
302185.54212500004,267704.635025,300644.11782499996,303056.8621
296353.0871,279012.0346,242205.0983,352832.9559
295415.2336,262110.41924999998,244429.44067500002,361940.617575
291527.842425,301845.999975,280791.751175,284670.443825
298774.546075,284670.443825,282756.52297499997,294426.311425
274559.187475,265028.976975,284852.316775,337610.37665
279012.0346,284852.316775,307122.6418,279391.444775
306699.797325,305391.77105,281664.36682500003,261851.09517500002
294866.5576,282756.52297499997,311241.653825,264525.07985
284852.316775,265330.272175,265596.367,336968.482925
292761.018775,287760.48315,285527.828025,282503.1383
307122.6418,290166.69915,272694.8394,275364.945
299976.90715,294426.311425,260888.271325,284524.05825
289277.69525,292253.92715,289779.50190000003,271700.73245
277684.094225,282503.1383,296925.0576,280190.75927499996
280955.0324,284524.05825,298774.546075,273792.646525
294426.311425,280791.751175,280546.671625,282318.6368
280791.751175,287026.89,277684.094225,288626.1306
276188.03875,277684.094225,314310.3079,262110.41924999998
287026.89,285230.85562499997,283412.714875,279621.68675
279391.444775,280546.671625,278231.135225,292863.61795
291214.48985,293651.893475,258661.58267499998,286370.42422499997
280546.671625,296925.0576,271700.73245,275212.825675
273792.646525,279268.2928,288626.1306,278070.6821
261102.743975,270801.1106,309717.460425,274559.187475
284524.05825,292863.61795,291214.48985,252581.017575
280190.75927499996,283412.714875,279012.0346,272694.8394
285230.85562499997,283724.3026,275364.945,271386.653625
281664.36682500003,291214.48985,277179.018325,264276.87107500003
278231.135225,282318.6368,267502.555875,279268.2928
261851.09517500002,255549.90110000002,247205.997475,342529.09305
265028.976975,278231.135225,295415.2336,265827.634925
287347.76895,289779.50190000003,264276.87107500003,261657.3229
290166.69915,278070.6821,283724.3026,249398.589875
266212.706275,273636.96635,290166.69915,274233.7913
285527.828025,279621.68675,281973.41517500003,254166.03535
278070.6821,285749.440375,274233.7913,264121.07385
263783.673075,276188.03875,292761.018775,269633.293925
252255.947425,285527.828025,265330.272175,292253.92715
272205.424925,276705.6485,287760.48315,259046.13555
273636.96635,258661.58267499998,289277.69525,276188.03875
270801.1106,281973.41517500003,255740.247775,281664.36682500003
292253.92715,286370.42422499997,269633.293925,243505.50425
282318.6368,280955.0324,258149.920575,266867.237225
275364.945,277179.018325,279621.68675,258034.31192500002
269633.293925,270292.062425,272368.85750000004,272368.85750000004
275626.40260000003,272368.85750000004,279391.444775,257586.02285
270292.062425,253280.853625,236391.499525,325133.800075
271700.73245,267846.8431,237180.06672499998,303712.296075
271386.653625,270036.23935,270292.062425,269005.665875
260888.271325,271386.653625,266867.237225,277684.094225
269005.665875,245782.70789999998,254524.5612,310581.2821
245190.997975,267253.102625,305391.77105,261102.743975
270036.23935,264276.87107500003,276188.03875,270036.23935
274233.7913,281664.36682500003,272993.090975,249104.93774999998
279268.2928,287347.76895,261851.09517500002,248640.307625
