0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
3342093.8658,3241692.177,3270107.5838,3430210.7310999995,2899981.2660999997,2811211.8641,2633958.4216
3201165.5848000003,3227419.7582,3154323.5845,2144454.0618000003,3430210.7310999995,3430210.7310999995,3457768.7317000004
3005617.1436,3059626.5623,3395869.5625,3608130.1572,3026228.4359999998,2914511.8901,2193369.3405999998
3059626.5623,3102505.5927999998,3102505.5927999998,3227419.7582,3154323.5845,3167562.9562,2963623.6354
3212864.6508,3212864.6508,3287047.9242000002,3122650.2585,2914511.8901,2979452.4329,2864498.0519000003
2864498.0519000003,2886088.5199,2979452.4329,3053748.5589,3305455.2293000002,3342093.8658,3413165.9015
2996578.7517,3038400.271,3079934.8774,3154323.5845,3059626.5623,3253799.1855,3059626.5623
3496738.4011,3413165.9015,3111586.4593,2963623.6354,2747770.5919,2955040.3233,3026228.4359999998
3413165.9015,3305455.2293000002,3319085.3252,2052043.8037999999,3342093.8658,3102505.5927999998,3227419.7582
2702646.9483,2788115.0266,2936392.5641,2996578.7517,3395869.5625,3374639.7393,3342093.8658
3457768.7317000004,3342093.8658,3374639.7393,2736065.9729,2906327.9732999997,2873622.9395,2645828.7674000002
3094216.5199,3143087.8254,3068126.687,3457768.7317000004,3038400.271,3059626.5623,2819486.2566
2906327.9732999997,2955040.3233,3005617.1436,3068126.687,3212864.6508,3133412.3935,3270107.5838
2963623.6354,2979452.4329,2955040.3233,3133412.3935,3111586.4593,2906327.9732999997,2936392.5641
2979452.4329,3079934.8774,3094216.5199,3241692.177,3102505.5927999998,3053748.5589,2777163.8464
3227419.7582,3201165.5848000003,3180574.9432,3167562.9562,2692981.1321,2736065.9729,2567780.1585999997
2556983.8857,2692981.1321,2759010.1283,2819486.2566,3319085.3252,3413165.9015,3754199.3538999995
2819486.2566,2914511.8901,2777163.8464,2032615.5752,3167562.9562,3457768.7317000004,3654331.1362000005
2777163.8464,2829272.856,2873622.9395,2788115.0266,3201165.5848000003,3305455.2293000002,3305455.2293000002
3079934.8774,3068126.687,3167562.9562,3270107.5838,2829272.856,2711697.0049,2276162.2372000003
2451460.8082000003,2581495.1698,2556983.8857,2873622.9395,3143087.8254,3270107.5838,3585889.9288999997
2873622.9395,2840823.0033,2963623.6354,2444405.8613,3270107.5838,3241692.177,3154323.5845
2855296.5857,2864498.0519000003,2899981.2660999997,2955040.3233,2979452.4329,2864498.0519000003,2747770.5919
2747770.5919,2759010.1283,2768399.3535,2653678.1188000003,3053748.5589,3026228.4359999998,3111586.4593
2680803.718,2680803.718,2855296.5857,3005617.1436,2936392.5641,2847181.2275,2899981.2660999997
2653678.1188000003,2606896.5645,2747770.5919,2914511.8901,3068126.687,3005617.1436,3079934.8774
2722887.7682,2653678.1188000003,2523580.1783,2669820.3561,2873622.9395,2963623.6354,2979452.4329
