wt_0min_1,wt_0min_2,wt_60min_1,wt_60min_2
76899.005041,91136.41558100001,60357.533028,60512.218695999996
42505.011632,37542.32142,48435.246628,76899.005041
108571.751479,104595.95805799999,46113.566341,45390.458153
52197.076827,71290.01655999999,77989.71012,80152.46177600001
50765.387702,49948.819012,73071.350822,83510.54734199999
57835.212109,65359.94459499999,46963.030721,71290.01655999999
58227.488301,59382.964959000004,45604.300664,71196.328424
82871.026606,81823.216753,68331.31269,69899.954209
70888.618534,71722.841426,61228.23956,74174.221136
86713.173525,82107.036149,86951.65896900001,64111.320319000006
65359.94459499999,72374.02643900001,80367.98222600001,68577.51412400001
46381.818445,62398.587655,84813.34446000001,69133.389067
48672.889743,43002.047924,82573.301619,85921.763746
83320.50371599999,48488.875695,80152.46177600001,73071.350822
59382.964959000004,58687.67559700001,76368.940225,71376.433724
90220.150552,73742.127165,71376.433724,59089.84656
54954.004352,61696.559027,74952.951145,76193.12167200001
75490.137512,77179.430065,64111.320319000006,62745.646560999994
83186.988481,76368.940225,65561.613183,62489.089038
77352.473291,82573.301619,65359.94459499999,71722.841426
93900.84651999999,79735.53931,77352.473291,57617.320822
67399.322916,62225.803439,58137.115197,71051.332711
64401.337438,88986.688758,54807.235433,73454.330017
85540.738849,86951.65896900001,63712.139567,68851.52112800001
91793.168892,93701.0317,61032.508388,52363.52693
69369.73911,68430.541751,67894.830195,62160.817016999994
64037.027173,70394.201959,71852.23582,60691.062717999994
79735.53931,58763.046475,65706.91266399999,69483.765459
64791.59267,67521.411133,69369.73911,59949.738775
29361.934651,36856.188780000004,62600.038514,65706.91266399999
78270.07479700001,74174.221136,68090.31936,58428.113057
80975.064805,80846.077615,66422.56624300001,64321.603586000005
71051.332711,64696.100255,62398.587655,63367.26875999999
60691.062717999994,53348.222427,78929.759441,68090.31936
70539.525585,72005.241605,70739.159726,59278.850763999995
85921.763746,92079.977308,67609.428663,64592.835638000004
44995.922783,61032.508388,47966.150693,62962.111713000006
70157.306683,68331.31269,73742.127165,64223.401398
60016.76453,60016.76453,66253.847755,65982.793693
70394.201959,78929.759441,64696.100255,62398.587655
33407.003963,43886.188609,51762.503406,75380.86078
44255.67332,54665.504313,76740.116839,57778.62744
75794.336751,78682.626347,59658.449988,56574.471708
64321.603586000005,55080.105657,79422.120577,61593.80959600001
83813.16184799999,85009.37193,57617.320822,50655.717586
80152.46177600001,73620.34497,58911.215889,55666.500446
60512.218695999996,60134.245048,55190.199872000005,69271.354217
56407.402390999996,56407.402390999996,69013.729145,66422.56624300001
81346.314561,76740.116839,64480.253247,56061.137738
74040.700171,71852.23582,53272.321811,57895.396788
62398.587655,60835.863312999994,68851.52112800001,68674.485913
37401.784568,39479.120894,61096.17914,81346.314561
58258.689969,61807.807609999996,57835.212109,61405.818236
67296.22409599999,70040.28707699999,59184.784984000005,58048.774836
76740.116839,67894.830195,74427.50025299999,60016.76453
64111.320319000006,64546.91658,64546.91658,62829.534754
62684.299398,72143.79165,61807.807609999996,56407.402390999996
76193.12167200001,83320.50371599999,65911.332445,44809.819871
22089.036347,20586.481493,53218.206272,64480.253247
59027.013233000005,67296.22409599999,60905.373074,62290.61759200001
73620.34497,70888.618534,63785.814743,55273.544067
30837.165795,42191.197944,55136.61217200001,55897.798835
65911.332445,70282.782148,67031.252348,53821.733142000005
62962.111713000006,63647.421160000005,57148.35529200001,64696.100255
70739.159726,74040.700171,60134.245048,58763.046475
50982.437127,54147.54204300001,71196.328424,67296.22409599999
64592.835638000004,74952.951145,60073.749127999996,61696.559027
65140.071057,69565.546294,60990.37338799999,58911.215889
73327.47124000001,82871.026606,66874.451289,65242.539336
45839.085025,46764.662309,78270.07479700001,72905.785876
73175.13454700001,43532.150165,69762.168313,56702.70496
53869.12170599999,56127.498265999995,65655.778731,59184.784984000005
62745.646560999994,62909.663648999995,72374.02643900001,52835.215511
74174.221136,70739.159726,60266.085716999994,57537.148703
70040.28707699999,67031.252348,69271.354217,59592.355061
72700.830447,65561.613183,60575.93788299999,57668.998823999995
72565.447324,69762.168313,64592.835638000004,58557.900438000004
30217.007416,36616.35767,66092.588227,54264.10756399999
68090.31936,59658.449988,86383.570793,72374.02643900001
64696.100255,66874.451289,57778.62744,53218.206272
46083.024508,48696.833329,65459.194795,71527.698697
66333.110123,73071.350822,60691.062717999994,57354.587654999996
59741.16111,56953.77607400001,63968.781202,57387.002044
54100.507828,66769.270242,53869.12170599999,59462.178408
58828.493259999996,62962.111713000006,46447.577094,65459.194795
61177.316591999996,59553.93517699999,46217.490631,55858.650207000006
66874.451289,74582.179938,55563.299289999995,54393.83584500001
69483.765459,65140.071057,65982.793693,58687.67559700001
75578.865816,76193.12167200001,60016.76453,54500.206634999995
60990.37338799999,51199.592891,58300.130347000006,74427.50025299999
43605.199601,54307.294012000006,68674.485913,55327.04188399999
40246.298096,47673.30671600001,59027.013233000005,53405.94791
56702.70496,63452.496595,49075.341559,56953.77607400001
65655.778731,65842.31336,67521.411133,66333.110123
42801.346594999995,45744.05459,73620.34497,67751.468393
45028.181238000005,48112.081674,50684.934610000004,74952.951145
64725.846879,63968.781202,62909.663648999995,57303.565231
61807.807609999996,70157.306683,55949.391721,53016.064732
55480.620783,55190.199872000005,58763.046475,65655.778731
59658.449988,58557.900438000004,64321.603586000005,60761.013918
62160.817016999994,65655.778731,62225.803439,53093.966136
68430.541751,61593.80959600001,62684.299398,58300.130347000006
30235.924074,34033.986080999995,52027.445658,51824.56711
67521.411133,66585.566366,61357.917666999994,52513.804839000004
54205.14953899999,69483.765459,60199.934998000004,58828.493259999996
56243.676682000005,54067.766918999994,38337.998659,60905.373074
49505.831312,50198.900795,45136.670136,52027.445658
70282.782148,64111.320319000006,49505.831312,59027.013233000005
48867.368811,50684.934610000004,65019.69950100001,80585.714593
26224.058899000003,35149.331394,57955.923096,49229.979452
58428.113057,52947.347519999996,62290.61759200001,59900.34976
67751.468393,50812.905127,52691.868074,60266.085716999994
63647.421160000005,58828.493259999996,62092.853864000004,58137.115197
52947.347519999996,63258.548604999996,73327.47124000001,59658.449988
73742.127165,72256.59583,63258.548604999996,45604.300664
46608.528342,50474.474328,47621.04884,63061.071094
51653.580957,47595.008746,51253.36376,64918.110198
47270.152548,41968.653198,50162.913714999995,73620.34497
55949.391721,61357.917666999994,57432.180712,60835.863312999994
41734.147584,40440.757863,63647.421160000005,65359.94459499999
55897.798835,54264.10756399999,68186.614621,61357.917666999994
67031.252348,74776.329172,56506.922915999996,52463.708287
25070.01755,31487.802052000003,70539.525585,51653.580957
29109.336446,36320.346919,60761.013918,74040.700171
61483.303266999996,59278.850763999995,57537.148703,58856.225031
65561.613183,48898.255847,65140.071057,58367.818631999995
84552.546346,83510.54734199999,59382.964959000004,62909.663648999995
52285.827742,47527.510093000004,58828.493259999996,67174.91751
62489.089038,62160.817016999994,58227.488301,54100.507828
60575.93788299999,59462.178408,50846.911007,54205.14953899999
76601.868722,65459.194795,61945.40904099999,45808.634277
48744.63814,62092.853864000004,52093.533455000004,55619.834326
63888.74109,57617.320822,64918.110198,54954.004352
38616.521762000004,51560.885962,42900.759444,45433.520552
67894.830195,64725.846879,55327.04188399999,53659.854585999994
67609.428663,64037.027173,51332.661247,51450.062511000004
69762.168313,60627.329573999996,51450.062511000004,50322.103743
55619.834326,52626.563266,55897.798835,57432.180712
65242.539336,62745.646560999994,56611.169484,50162.913714999995
60266.085716999994,64480.253247,58595.15910999999,50923.98671899999
44637.375339000006,47749.907478,62745.646560999994,69565.546294
53524.117429,59797.947065,59900.34976,53869.12170599999
35697.714878,47787.170239,57668.998823999995,60627.329573999996
67174.91751,69369.73911,53348.222427,55190.199872000005
78682.626347,64918.110198,51121.528959,52407.262650000004
59462.178408,67751.468393,39110.033755,43743.253527
66769.270242,69899.954209,61593.80959600001,52947.347519999996
48488.875695,48337.179858,39603.413943,61889.512973000004
61405.818236,60357.533028,55713.217140999994,59354.43157
69133.389067,68186.614621,59278.850763999995,45552.04191
66188.857155,63712.139567,57242.187731,54184.111781
40930.721058,42801.346594999995,55666.500446,66769.270242
66092.588227,60905.373074,56886.432407,51696.305905
68577.51412400001,60761.013918,72700.830447,66092.588227
22824.884633,27410.710476,68577.51412400001,52197.076827
26021.196055,32452.925147,67399.322916,64791.59267
61096.17914,58258.689969,47324.803201,56333.53387
64480.253247,64791.59267,48162.032432,51332.661247
35915.937744999996,33261.151876,54067.766918999994,52093.533455000004
63061.071094,64592.835638000004,54665.504313,48002.221663
6175.273831500001,6763.787258900001,125524.40007,68331.31269
14720.072988,17135.139675,83986.432512,54147.54204300001
50655.717586,47222.686096000005,62016.28698700001,60357.533028
56506.922915999996,53093.966136,55759.660644,57242.187731
50846.911007,50550.878302,39371.428879,54665.504313
66253.847755,67399.322916,54147.54204300001,46381.818445
45533.093815,45645.563036,69899.954209,72565.447324
63367.26875999999,64401.337438,49549.739760000004,54578.603642999995
54264.10756399999,65706.91266399999,51908.602551,47557.812899
62225.803439,66188.857155,53131.766810999994,59382.964959000004
21534.514055,28731.258938000003,77867.155896,65140.071057
55373.403954,50846.911007,35962.930749,61228.23956
46349.462765,49650.208554,47557.812899,61288.761612
54743.965804,52865.260728,41583.974577,51560.885962
59797.947065,51597.746613,38714.518776,51296.750237
37723.851162,40303.551846,56243.676682000005,57955.923096
44282.125997,41401.039403999996,58687.67559700001,70739.159726
22565.836288,21592.307385,75078.465746,76368.940225
88986.688758,83186.988481,50078.580876,37019.529924
43097.491898,41443.782308,67980.818374,52626.563266
36412.215176,33451.680437,71290.01655999999,79936.69424800001
49862.544682,51762.503406,50550.878302,54023.771038000006
43697.357211999995,39553.520743,61889.512973000004,64546.91658
58093.410518,59027.013233000005,55524.251003,48696.833329
72143.79165,62684.299398,54100.507828,49603.919685
60464.35447400001,57835.212109,61177.316591999996,48337.179858
24238.119634,28375.830920999997,38145.536315,63647.421160000005
58300.130347000006,65019.69950100001,54460.767374999996,48672.889743
56886.432407,58227.488301,59741.16111,48072.71808
24647.680417000003,34716.996051999995,67296.22409599999,55992.77529
51332.661247,46853.896507000005,30738.850653,53961.940449
71196.328424,67174.91751,50765.387702,44255.67332
61696.559027,55524.251003,65842.31336,47673.30671600001
23572.576288,17422.522763,58258.689969,119807.21613
63167.936939,68577.51412400001,51696.305905,42567.116861
20112.705645000002,22195.881437,39854.559850000005,59797.947065
68331.31269,66422.56624300001,52865.260728,50684.934610000004
73454.330017,77352.473291,44174.366278,41512.528508
47425.773653,50655.717586,58488.738433000006,62225.803439
61032.508388,60990.37338799999,55480.620783,52691.868074
41883.533158,37945.562393,39138.541636,66253.847755
27362.905112,31863.162283,56061.137738,58258.689969
42088.730731,41622.018391000005,52513.804839000004,62092.853864000004
59592.355061,58856.225031,48811.794293,50550.878302
56061.137738,41943.311259,52947.347519999996,62600.038514
50295.974051000005,42054.754526,60627.329573999996,55373.403954
58856.225031,63785.814743,52154.472905999995,50388.673591
42618.197853,42249.951555,37383.694605000004,56810.79809899999
65706.91266399999,62600.038514,58367.818631999995,49075.341559
55759.660644,54023.771038000006,51824.56711,55011.789948000005
30785.885047,38072.760253,50295.974051000005,52327.504834
34851.076418,33545.84105,58428.113057,58227.488301
52759.30656,50982.437127,53792.293711000006,56127.498265999995
45165.280322,51450.062511000004,57480.59465299999,56506.922915999996
64223.401398,61889.512973000004,63888.74109,50247.748829000004
53348.222427,54205.14953899999,46764.662309,46817.731296
66585.566366,61945.40904099999,59592.355061,56611.169484
59184.784984000005,52582.632452000005,48533.123588,51982.796084
62016.28698700001,61096.17914,62160.817016999994,51762.503406
60357.533028,63888.74109,55420.404984,53711.557847
53821.733142000005,52154.472905999995,61405.818236,53597.160776000004
61288.761612,57895.396788,52835.215511,47014.583029
27153.033813,27928.207273999997,37567.997368,57480.59465299999
55858.650207000006,67609.428663,63167.936939,54067.766918999994
57432.180712,58300.130347000006,53916.960624,47126.520216
37706.61746,39110.033755,54393.83584500001,54307.294012000006
42290.342996,39721.834416,40246.298096,63968.781202
67980.818374,57354.587654999996,54023.771038000006,47456.798706
60835.863312999994,56333.53387,54500.206634999995,49753.134155
48581.020727999996,47908.282223,56810.79809899999,67521.411133
55190.199872000005,60199.934998000004,56407.402390999996,49650.208554
46272.304243,54879.551618000005,64223.401398,43697.357211999995
81608.367061,79936.69424800001,52407.262650000004,32970.924839
62600.038514,55273.544067,46300.436654000005,46217.490631
53016.064732,53272.321811,33657.321765,50295.974051000005
59354.43157,55759.660644,59553.93517699999,48581.020727999996
