wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
341196.73421,313654.45227999997,292085.95293,279654.44244
290196.00901,285996.64021,259931.91142000002,262630.14188
199637.79143,321827.93142,323874.86222999997,341196.73421
298127.3149,282665.07439,290989.96932000003,296652.10394
310825.14602,280764.14222,300124.49529,297113.16438000003
313164.02232999995,280187.99893,278424.59368,282343.69964999997
260385.91319,294838.82861,298127.3149,290989.96932000003
305336.3577,288440.59848,289025.03749,283118.01755
333040.37464,296183.99037,267612.77581,284143.82795
275179.22472,290989.96932000003,313164.02232999995,303671.61818
296652.10394,298713.91053,300877.03213999997,316290.38037
303671.61818,276598.75899,294219.87224,291549.53585
300472.22881999996,278830.48636,278047.36634,285221.90699
280187.99893,292085.95293,285652.46579,279223.4275
261112.16704000003,290196.00901,307737.15587,310205.00137
233806.98409,299450.75210000004,317135.86089,311380.0257
327243.28849999997,275843.11289,261814.61148999998,260385.91319
278047.36634,279654.44244,291549.53585,288440.59848
294838.82861,273906.81974,249976.52499,246281.30964000002
280764.14222,277073.83901,273906.81974,271736.4776
283118.01755,279877.41603,281157.26459,278424.59368
278424.59368,282061.57918,284143.82795,292892.93391
302887.31444,367520.44353,294838.82861,329370.72678
255306.18212,284143.82795,272071.58924,282061.57918
274319.40815000003,286818.70725,265089.42478999996,282665.07439
187733.3143,307737.15587,319530.93929,338020.04527
251003.55494,306724.44518,292892.93391,294219.87224
299450.75210000004,278047.36634,258187.7478,266270.28919000004
286818.70725,274662.90608,283620.35635,280187.99893
288019.04367,267916.26054000005,285221.90699,275843.11289
257140.33052,281748.15945000004,279877.41603,285652.46579
263726.08048,276350.01414,292410.26721,287494.02369999996
307737.15587,260385.91319,278830.48636,263946.69145
295425.01861,270291.60531,282665.07439,273906.81974
305731.88153,271144.04024,288019.04367,275179.22472
281748.15945000004,275179.22472,265460.49174,261814.61148999998
269309.63652999996,272071.58924,274662.90608,272449.27612
290989.96932000003,266954.11211,271144.04024,269309.63652999996
206595.32077,290784.01841,304235.63234,319049.34246
289724.11979,272449.27612,275179.22472,270777.48887999996
287494.02369999996,272806.49479,277073.83901,281157.26459
294219.87224,277662.10829,272449.27612,281748.15945000004
290784.01841,265460.49174,271736.4776,259376.39789999998
292892.93391,261814.61148999998,258921.15297999996,256174.35471
218937.82231999998,284879.05770999996,289724.11979,297683.87198
310205.00137,258383.25548,257140.33052,258921.15297999996
269010.47861,269010.47861,265844.52971000003,274319.40815000003
252325.4264,279223.4275,267282.63081999996,277073.83901
246887.21304,273491.68123000005,279412.80479,286818.70725
279223.4275,258187.7478,259376.39789999998,244731.49222
288440.59848,270777.48887999996,276350.01414,276350.01414
267916.26054000005,271736.4776,262630.14188,250679.06782999999
262630.14188,274319.40815000003,281748.15945000004,278047.36634
289025.03749,262385.36705,273491.68123000005,266954.11211
252645.22974,279412.80479,272806.49479,263726.08048
403275.2895,431279.6567,454861.64128,413829.25363
