env_0min_1,env_0min_2,env_5min_1,env_5min_2
335067.30151,332921.08924,340414.85597000003,321738.65069
309774.02944,329849.79244,324463.99101999996,359301.66958999995
340414.85597000003,326937.37366,320798.04403999995,325856.97352
352592.03313,338407.64295999997,302118.04568,302607.76284
330810.27096,312042.52205,300785.7053,317916.49948999996
323426.71013,320798.04403999995,311448.73056,322950.42912
266452.45169,346301.90084,358097.18098,361342.74470000004
313742.73457,319311.29071,312042.52205,315358.79153
329849.79244,341206.15258,316951.33434,339709.82863
340691.48972,285813.81687000004,380067.32742,319311.29071
350558.9291,305947.91936,346301.90084,318468.86121
317347.8562,300785.7053,316244.33729,329535.71731
314379.44391000003,321738.65069,313742.73457,331696.7551
347877.1951,334565.95624,330316.40819,309774.02944
333758.51502,310962.92183,307801.79746,303577.52558
318468.86121,299466.4153,328621.3234,323426.71013
302118.04568,317916.49948999996,325856.97352,336608.50144
247771.76376,371605.96511,342615.92328,363083.81176
331696.7551,339709.82863,329849.79244,299466.4153
303577.52558,305280.97002,293424.25665,312042.52205
238135.02106,358097.18098,353711.39447,368642.59575
320034.7279,291876.17741,343617.97706999996,316244.33729
317916.49948999996,290311.56987,335067.30151,310962.92183
305280.97002,284716.07845000003,298955.38368,317347.8562
336608.50144,316244.33729,305280.97002,309009.76635
319311.29071,342615.92328,305947.91936,298232.5835
299466.4153,313742.73457,306847.74831,307801.79746
316951.33434,294650.54581,285157.65331,305280.97002
312042.52205,286966.60672,315358.79153,316951.33434
332921.08924,293424.25665,312973.27225000004,313742.73457
306847.74831,317347.8562,303577.52558,304601.33863
296634.94156,311448.73056,293702.54188000003,296634.94156
300785.7053,324463.99101999996,281969.1799,300785.7053
322950.42912,286359.34935,309774.02944,308545.50627
309009.76635,293702.54188000003,299466.4153,293424.25665
315358.79153,273539.12904,300194.62751,295721.37985
334565.95624,307801.79746,309009.76635,294650.54581
304601.33863,295721.37985,297500.80460000003,291876.17741
311448.73056,289550.84629,291876.17741,284228.58366
300194.62751,325055.95177,284716.07845000003,311448.73056
320798.04403999995,279216.59988,317916.49948999996,281969.1799
302607.76284,297500.80460000003,279444.37167,297500.80460000003
322368.86906,281255.83845000004,295202.33194999996,298955.38368
325856.97352,304601.33863,276312.6215,292729.03336999996
298955.38368,292729.03336999996,294650.54581,312973.27225000004
307801.79746,284228.58366,287755.7093,286359.34935
295202.33194999996,298955.38368,292729.03336999996,292290.92457
284716.07845000003,295202.33194999996,302607.76284,295202.33194999996
234313.89363,347877.1951,304601.33863,320034.7279
332158.13249,309009.76635,298232.5835,290311.56987
295721.37985,289076.16074,279216.59988,281255.83845000004
293702.54188000003,276312.6215,273153.63637,267161.33488
308545.50627,300194.62751,274400.75812,273153.63637
290311.56987,281969.1799,296634.94156,274870.35727
281255.83845000004,302118.04568,295721.37985,306847.74831
285813.81687000004,282307.04094,286359.34935,288277.31008
278509.40391,312973.27225000004,310962.92183,302118.04568
282307.04094,302607.76284,281255.83845000004,285813.81687000004
288277.31008,264920.81046,291229.48422,279216.59988
241757.76389,291229.48422,301721.32873999997,305947.91936
282679.7073,267972.69463,267161.33488,273999.33435
278151.65227,277603.45857,278509.40391,289076.16074
273999.33435,285157.65331,272139.04942,286966.60672
281969.1799,315358.79153,289076.16074,293702.54188000003
289076.16074,280391.51479000004,254353.56743,272139.04942
289550.84629,255465.27114,274870.35727,279444.37167
284228.58366,264646.76116999995,278151.65227,289550.84629
269564.15059000003,303577.52558,362433.89259,275572.72709999996
275572.72709999996,287755.7093,275572.72709999996,314379.44391000003
273153.63637,260485.02115000002,290311.56987,291229.48422
248385.17268,336608.50144,277603.45857,300194.62751
239985.78402999998,314379.44391000003,292290.92457,301721.32873999997
287755.7093,269564.15059000003,271636.00081,269564.15059000003
252872.16135999997,306847.74831,277050.43367,265656.08944
328023.44334999996,298232.5835,285813.81687000004,282307.04094
292729.03336999996,257971.27557,286966.60672,276312.6215
277603.45857,263507.99580000003,265656.08944,280391.51479000004
286359.34935,245996.51776000002,272748.50615,282679.7073
277050.43367,272139.04942,271106.53058,278151.65227
276312.6215,242319.9935,280391.51479000004,271636.00081
274870.35727,255797.93118,269564.15059000003,274400.75812
298232.5835,273999.33435,260485.02115000002,262317.06329
292290.92457,282679.7073,262317.06329,262016.18462
293424.25665,265656.08944,284228.58366,267491.81519
262016.18462,278509.40391,270276.04883000004,270276.04883000004
280391.51479000004,278151.65227,257595.45408,277603.45857
279444.37167,296634.94156,268584.30532,265979.35574
250498.31390999997,275572.72709999996,282679.7073,287755.7093
286966.60672,247982.28731999997,267972.69463,272748.50615
267491.81519,274400.75812,258334.39093,264172.42075
257971.27557,288277.31008,289550.84629,264920.81046
272139.04942,274870.35727,254156.83990000002,262652.0114
270276.04883000004,269039.71752,264920.81046,249602.57934
257132.13556,242678.56663000002,256301.03112,254577.09446
264920.81046,227409.82124000002,257132.13556,273539.12904
265656.08944,259581.18849,253822.85227,263816.08213
279216.59988,271636.00081,288277.31008,257971.27557
248747.38903000002,270276.04883000004,255797.93118,260822.80688999998
253310.08893,254851.05052,247771.76376,258932.75269999998
240860.13551,261279.27168,273999.33435,271106.53058
269039.71752,264172.42075,250829.79366999998,255465.27114
268584.30532,279444.37167,263816.08213,261279.27168
244024.07405,263166.39168,260068.14805000002,277050.43367
305947.91936,243585.12771,330810.27096,226277.97219000003
256301.03112,272748.50615,245793.92376,255797.93118
226519.75934000002,252416.79252,263166.39168,263507.99580000003
