wt_5min_1,wt_5min_2,env_5min_1,env_5min_2
56925.108221999995,68258.01881200001,56662.68079,59969.877257
54870.22102700001,53980.320926,55322.572283999994,51706.954523
52469.534094,62982.049827999996,51627.300467,55147.867217000006
54369.41925399999,38636.719880000004,48924.872632,57410.387649
49397.072229,56275.337123000005,47832.672707000005,48967.886398999995
53602.289686,53517.820068,49959.278518,48078.357122
59433.104856000005,38476.122242,79220.99376000001,49639.023045
51434.744353,65044.825593,52189.002782,50404.111091
53273.594084000004,49177.244814,56116.95953000001,55508.924382
53236.828905999995,45710.580243,54369.41925399999,51571.121866
53476.26594699999,54870.22102700001,47863.023279,46956.09427
46535.227201999995,50661.480686,46049.726821000004,48715.037244
43603.422360000004,52995.189730000006,47000.851784,45314.181082
49177.244814,46083.794912,53718.318805999996,62498.270945
48967.886398999995,58373.367854,61450.551142,77527.613119
54067.927998,45028.95219900001,52551.063989,54965.534118999996
53860.314971,54436.586705999995,54323.618507,63939.289385
58039.578535,47229.323436,53394.67099500001,62789.10978700001
48643.582168,46635.195412999994,41144.949166,43934.048335
72003.400406,44661.119201,97185.236429,59898.026014
59676.679541000005,42305.887709999995,83171.93423,37170.734329
62498.270945,61300.275601999994,54125.782341,59772.63280400001
50977.31539,51571.121866,57918.673945,53860.314971
49325.270116,47863.023279,45839.911249000004,52395.97958
57918.673945,56427.283918999994,59078.397667,57591.090257
50801.998495,53236.828905999995,51012.088721,49912.477254
52118.831546,59433.104856000005,47438.80305,50131.395016
46500.993770999994,56970.566802999994,42931.064198,48694.200738
50661.480686,56925.108221999995,43537.002833,47832.672707000005
54801.630382,43469.469426999996,52889.72930299999,54928.257413
50571.425686999995,50874.390615,51852.516,57231.874081999995
51522.939782,55836.386731,50131.395016,51627.300467
54027.821291,53786.191590999995,46535.227201999995,53517.820068
54736.499623,54125.782341,50351.531967,50571.425686999995
49865.140021,48078.357122,48012.936243,54369.41925399999
49429.282788,53674.98824399999,46928.980255,46815.436858
49537.737103,55243.68645,44702.37277,42526.109769999995
50439.005991,52469.534094,51172.117664000005,48814.522973
74959.162603,41990.208246,78973.640945,41802.604769
48436.351884,55414.307536,45542.790341,50439.005991
52605.614591,57728.385065,45655.513098,53786.191590999995
42365.49516,53476.26594699999,45152.666002,44702.37277
59772.63280400001,55943.51427,56427.283918999994,48643.582168
44661.119201,59898.026014,83813.026174,36269.169096000005
54646.409542,58664.401969,53860.314971,54436.586705999995
52035.70821,48863.234317,47408.203355,47525.270384999996
47863.023279,53394.67099500001,53236.828905999995,53394.67099500001
45924.997365,51794.848826999994,48544.93741,45028.95219900001
45028.95219900001,49865.140021,48643.582168,45924.997365
49289.932013,58804.216275,51232.446512,51327.826151
48388.323317999995,51706.954523,52316.817637,52995.189730000006
61243.191758999994,38737.065386,68461.580507,49237.079579
48078.357122,54323.618507,42485.149492,44401.833912
60613.140574,34981.87481,49731.123615000004,56237.215657
43768.025129,54572.866801000004,41860.354953999995,47626.303273
46119.004699,46535.227201999995,44161.383093,51852.516
62287.016714000005,63071.134826,67940.43809400001,64848.170744999996
46707.187217,51063.390912999996,45124.463919999995,46580.629098
44367.652506,50705.0826,48256.053452,44855.773404
57079.113149000004,41289.898440000004,49810.996086,50977.31539
50771.201216,42162.416172,50439.005991,49289.932013
59342.32721599999,44088.821201,48127.9094,52805.270665000004
51852.516,52691.995279,46083.794912,47000.851784
47087.581443,49688.348245,45901.120483,53980.320926
48012.936243,51660.1376,50473.693676,51660.1376
