wt_0min_1,wt_0min_2,wt_5min_1,wt_5min_2
255969.39451,262317.06329,270276.04883000004,302607.76284
275572.72709999996,263507.99580000003,244324.19575,271106.53058
273539.12904,273153.63637,254851.05052,268584.30532
226519.75934000002,238644.42009,259581.18849,287755.7093
277603.45857,279216.59988,263816.08213,256760.32344999997
281255.83845000004,286359.34935,247514.43962,269039.71752
221561.81435000003,222250.21966,273153.63637,260068.14805000002
295202.33194999996,275572.72709999996,257971.27557,257132.13556
260068.14805000002,269564.15059000003,256760.32344999997,246947.54046999998
247982.28731999997,242319.9935,260822.80688999998,263507.99580000003
225409.59682,209883.17792,274870.35727,272748.50615
245996.51776000002,254156.83990000002,251581.48232,267972.69463
258932.75269999998,247771.76376,269564.15059000003,274870.35727
278509.40391,266452.45169,242319.9935,263166.39168
250498.31390999997,248385.17268,252872.16135999997,279444.37167
267161.33488,267161.33488,237771.57916999998,251108.89502
257132.13556,257132.13556,262317.06329,247514.43962
268584.30532,274400.75812,249852.86562,273999.33435
262317.06329,264646.76116999995,265656.08944,259581.18849
271106.53058,253310.08893,253822.85227,271636.00081
295721.37985,299466.4153,235961.48781,273539.12904
257971.27557,258932.75269999998,262652.0114,252416.79252
252872.16135999997,235271.03695,280391.51479000004,220067.28580999997
230290.41864,235019.19370999996,263507.99580000003,275572.72709999996
50799.842531999995,55603.51287400001,325856.97352,169003.51288
269564.15059000003,269039.71752,240281.78264000002,254156.83990000002
255797.93118,255180.33763999998,253310.08893,265656.08944
284716.07845000003,298232.5835,245202.1462,238322.33772999997
262652.0114,268584.30532,255180.33763999998,265979.35574
253822.85227,244324.19575,255797.93118,264646.76116999995
241074.51896000002,255797.93118,257132.13556,262317.06329
224598.05743,220564.58242000002,278151.65227,280391.51479000004
254851.05052,249350.19792,239577.95399,260485.02115000002
265979.35574,264920.81046,240860.13551,263816.08213
272748.50615,271106.53058,241757.76389,245202.1462
263816.08213,254353.56743,250498.31390999997,264172.42075
249602.57934,246947.54046999998,244649.87636000002,252872.16135999997
247771.76376,254851.05052,264920.81046,219633.15021000002
259581.18849,243585.12771,249602.57934,230719.80112999998
240452.87111,218899.42531,272139.04942,242678.56663000002
260485.02115000002,248959.03818,251954.168,269564.15059000003
247514.43962,234313.89363,269039.71752,202523.56553
269039.71752,281969.1799,240452.87111,249602.57934
273153.63637,259581.18849,246947.54046999998,254353.56743
263507.99580000003,243028.36669999998,254156.83990000002,238644.42009
246378.26287000004,255969.39451,241472.52344,260822.80688999998
262016.18462,270276.04883000004,235271.03695,249852.86562
254353.56743,263166.39168,238644.42009,278509.40391
254156.83990000002,260485.02115000002,227409.82124000002,285157.65331
231431.90508,223315.53486,255465.27114,258334.39093
258334.39093,257595.45408,244024.07405,234752.95583000002
251954.168,256760.32344999997,246378.26287000004,237771.57916999998
233441.34465,239985.78402999998,243028.36669999998,267161.33488
255180.33763999998,247982.28731999997,238135.02106,238135.02106
250829.79366999998,224332.21274000002,252416.79252,244024.07405
267972.69463,267491.81519,231637.19988000003,248959.03818
228147.58994,229036.22590999998,256301.03112,255797.93118
233122.31644999998,228469.68698,260485.02115000002,219464.46622
256301.03112,265979.35574,219796.01377,241757.76389
256760.32344999997,258334.39093,224598.05743,244944.58232
234073.84715,240452.87111,255969.39451,215210.40498000002
255465.27114,260822.80688999998,233642.67533,245793.92376
246947.54046999998,253822.85227,239985.78402999998,254851.05052
244024.07405,238322.33772999997,237297.31872,253310.08893
216660.43436,202755.0086,258334.39093,228147.58994
206629.44761,195661.93702,265979.35574,257595.45408
230043.52500999998,222864.96472,249350.19792,207855.37678999998
240281.78264000002,267972.69463,229678.76567000002,256301.03112
245202.1462,251108.89502,233122.31644999998,247982.28731999997
112726.81072,120840.25692,282679.7073,186587.21262
228824.28083,230558.69976,227737.21876000002,240860.13551
240860.13551,246378.26287000004,242678.56663000002,247771.76376
229678.76567000002,238135.02106,251108.89502,230558.69976
244944.58232,247514.43962,231155.87683000002,240281.78264000002
212663.55302,213780.83564,236573.72868,250829.79366999998
222670.20726999998,231155.87683000002,248385.17268,245996.51776000002
241472.52344,227409.82124000002,247982.28731999997,210543.51382
238644.42009,241472.52344,232287.57843,241472.52344
254577.09446,248747.38903000002,233441.34465,248747.38903000002
257595.45408,261279.27168,232190.57324,235019.19370999996
228469.68698,235652.244,247771.76376,244324.19575
225864.06017,221266.09622999997,244944.58232,240452.87111
220915.90615,231431.90508,243585.12771,233441.34465
230558.69976,231637.19988000003,248959.03818,261279.27168
225113.63911000002,233642.67533,245996.51776000002,238805.88333
233642.67533,209577.55453,261279.27168,222670.20726999998
217660.17560000002,211426.77626999997,236262.47195,225864.06017
238322.33772999997,232190.57324,230558.69976,231963.60429
196664.49646,233441.34465,241074.51896000002,224860.86823999998
235019.19370999996,245793.92376,230930.25810000004,254577.09446
248747.38903000002,245202.1462,234073.84715,227203.58388
223916.24665000002,225409.59682,226277.97219000003,243585.12771
242678.56663000002,251954.168,217660.17560000002,239158.09608999998
231155.87683000002,237771.57916999998,228469.68698,228469.68698
239577.95399,218260.35126999998,214465.01743,236262.47195
243028.36669999998,229678.76567000002,213438.24202,218548.97677
236573.72868,242678.56663000002,228824.28083,246378.26287000004
239985.78402999998,249602.57934,222250.21966,235652.244
245793.92376,233122.31644999998,234752.95583000002,212442.53394
235271.03695,239158.09608999998,231431.90508,222864.96472
237297.31872,244944.58232,224332.21274000002,220381.40167
248959.03818,241757.76389,229282.82635,241074.51896000002
206004.32319,213163.73615,235019.19370999996,230043.52500999998
213904.10523000002,203144.45711000002,231963.60429,223916.24665000002
243585.12771,219633.15021000002,234313.89363,210064.82458000001
249350.19792,244024.07405,209883.17792,217416.31708
236934.5912,239577.95399,215608.10035999998,231155.87683000002
211426.77626999997,223916.24665000002,219464.46622,262016.18462
238805.88333,236573.72868,226848.50247999997,234313.89363
235652.244,249852.86562,226519.75934000002,229678.76567000002
231637.19988000003,240281.78264000002,218899.42531,235271.03695
236262.47195,228147.58994,221990.39166000002,223315.53486
209577.55453,209214.35992000002,239158.09608999998,188163.85268
238135.02106,236934.5912,223315.53486,220564.58242000002
226277.97219000003,226519.75934000002,225113.63911000002,229036.22590999998
251581.48232,252872.16135999997,208930.66588000002,209461.16779
232287.57843,240860.13551,221266.09622999997,231637.19988000003
221990.39166000002,205692.39068999997,250829.79366999998,169871.28932
222864.96472,234752.95583000002,220067.28580999997,218260.35126999998
237771.57916999998,230719.80112999998,229036.22590999998,196904.31623
241757.76389,230930.25810000004,232747.4315,222250.21966
214465.01743,219178.11592,230043.52500999998,204886.09698
219178.11592,230290.41864,218260.35126999998,231431.90508
230719.80112999998,231963.60429,222864.96472,214137.24151
214137.24151,215495.66406,227203.58388,236573.72868
227203.58388,238805.88333,214137.24151,226848.50247999997
227409.82124000002,224860.86823999998,217034.87689,216660.43436
188976.63432,208930.66588000002,230290.41864,248385.17268
252416.79252,244649.87636000002,207536.58130000002,213780.83564
224860.86823999998,225113.63911000002,220915.90615,210816.98690999998
229282.82635,221990.39166000002,210816.98690999998,229282.82635
230930.25810000004,241074.51896000002,215210.40498000002,215988.20043000003
226848.50247999997,232747.4315,220564.58242000002,207536.58130000002
211917.58037,211187.73273999998,230719.80112999998,213438.24202
242319.9935,252416.79252,204081.28048000002,212117.14446
201557.24787,201294.82838999998,248747.38903000002,192811.74868999998
220067.28580999997,226848.50247999997,213780.83564,221990.39166000002
212117.14446,208042.3153,235652.244,225113.63911000002
215210.40498000002,207190.22708,217416.31708,219796.01377
234752.95583000002,229282.82635,208287.13314,213163.73615
149914.59891,167198.40548000002,238805.88333,232190.57324
224332.21274000002,220381.40167,204599.48778999998,211703.18532
231963.60429,235961.48781,208042.3153,225409.59682
208930.66588000002,210816.98690999998,245793.92376,228824.28083
227737.21876000002,220915.90615,213163.73615,201035.18438
222250.21966,225864.06017,207855.37678999998,230290.41864
244649.87636000002,227203.58388,209461.16779,206241.62437
223315.53486,221561.81435000003,228147.58994,220915.90615
