genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
77523.17922,96457.413249,57537.148703,68331.31269
83510.54734199999,89924.49617,77523.17922,84813.34446000001
55136.61217200001,57778.62744,45321.014735,43002.047924
105579.93817000001,93701.0317,74295.336083,83510.54734199999
72256.59583,81823.216753,76368.940225,102521.391273
81823.216753,113324.08406,61593.80959600001,74776.329172
76368.940225,76601.868722,94164.159559,80975.064805
129936.77746000001,86951.65896900001,72143.79165,76740.116839
76601.868722,69369.73911,93900.84651999999,88394.642216
72374.02643900001,64480.253247,80585.714593,83813.16184799999
44597.194915,41909.348249,106710.688785,95609.739934
79735.53931,87882.498803,74040.700171,67980.818374
64918.110198,58911.215889,109746.16457,104985.57307500001
70539.525585,60905.373074,79936.69424800001,83186.988481
80846.077615,84396.15779699999,69133.389067,71376.433724
67751.468393,73071.350822,80846.077615,80152.46177600001
125524.40007,110519.06605,60266.085716999994,71852.23582
68577.51412400001,73327.47124000001,59797.947065,62745.646560999994
86383.570793,82352.000467,73742.127165,70282.782148
72143.79165,56886.432407,91559.710949,96984.89988299999
89314.046782,92079.977308,50684.934610000004,63888.74109
75078.465746,73620.34497,85009.37193,81608.367061
66769.270242,72005.241605,80367.98222600001,86383.570793
71290.01655999999,73175.13454700001,77352.473291,73620.34497
64592.835638000004,77523.17922,75244.246181,68851.52112800001
99842.061706,133257.88047,51512.983033,57835.212109
84813.34446000001,80585.714593,76740.116839,77179.430065
62600.038514,65982.793693,62398.587655,57387.002044
70040.28707699999,77654.35194200001,72565.447324,69565.546294
73071.350822,70040.28707699999,85220.379455,84552.546346
69899.954209,80846.077615,75794.336751,76193.12167200001
70739.159726,77989.71012,76193.12167200001,75794.336751
78929.759441,83813.16184799999,70157.306683,67609.428663
73742.127165,72700.830447,71527.698697,71722.841426
78682.626347,74427.50025299999,69483.765459,64223.401398
49347.41507,50724.70633,66253.847755,67521.411133
77179.430065,74295.336083,74952.951145,76601.868722
76193.12167200001,62962.111713000006,87651.47436600001,85009.37193
73454.330017,85540.738849,54879.551618000005,62016.28698700001
71196.328424,77179.430065,66422.56624300001,59797.947065
82573.301619,79245.21096299999,83186.988481,77989.71012
95217.817157,114518.96111,46447.577094,58227.488301
87882.498803,85921.763746,67521.411133,64791.59267
87651.47436600001,81608.367061,64037.027173,64401.337438
61945.40904099999,69133.389067,74776.329172,75490.137512
50512.547937999996,53059.06217800001,74427.50025299999,72565.447324
48898.255847,52407.262650000004,94355.521675,93540.5434
51824.56711,52327.504834,39166.526561,41099.906895
71376.433724,70888.618534,67609.428663,68674.485913
57617.320822,80975.064805,63888.74109,83986.432512
74295.336083,83510.54734199999,59553.93517699999,60905.373074
85540.738849,75578.865816,75380.86078,85220.379455
64111.320319000006,75380.86078,59741.16111,58367.818631999995
83986.432512,78526.340139,86951.65896900001,75380.86078
88737.212223,99452.14246999999,42801.346594999995,55190.199872000005
90726.336887,46517.066923,65019.69950100001,70394.201959
63367.26875999999,61807.807609999996,45469.015808,44963.486339
74776.329172,74040.700171,73071.350822,72143.79165
74427.50025299999,75078.465746,81608.367061,72005.241605
